codesc,codigo_endereco,descricao,nome,sre
"31015245","","Principal","COLÉGIO TIRADENTES PMMG","SRE BARBACENA"
"31203122","","Principal","COLÉGIO TIRADENTES PMMG","SRE CAMPO BELO"
"31020265","","Anexo","EE PRESIDENTE TANCREDO DE ALMEIDA NEVES","SRE CARATINGA"
"31021016","","Anexo","EE BENEDITO QUINTINO DOS SANTOS","SRE CARATINGA"
"31191132","","Principal","COLÉGIO TIRADENTES PMMG","SRE CORONEL FABRICIANO"
"31368288","","Principal","COLÉGIO TIRADENTES PMMG - UNIDADE CURVELO","SRE CURVELO"
"31023841","","Principal","COLÉGIO TIRADENTES PMMG","SRE DIAMANTINA"
"31023728","","Principal","CONSERVATÓRIO EST MÚSICA LOBO DE MESQUITA","SRE DIAMANTINA"
"31364592","","Principal","COLÉGIO TIRADENTES PMMG","SRE DIVINOPOLIS"
"31043371","","Principal","COLÉGIO TIRADENTES PMMG","SRE GOVERNADOR VALADARES"
"31196622","","Principal","CONSERVATÓRIO ESTADUAL DE MÚSICA DOUTOR JOSÉ ZÓCCOLI DE ANDRADE","SRE ITUIUTABA"
"31062502","","Anexo","EE PROFESSOR HENRIQUE DE MATOS","SRE JANUARIA"
"31068870","","Principal","COLÉGIO TIRADENTES PMMG","SRE JUIZ DE FORA"
"31068560","","Principal","CONSERVATÓRIO ESTADUAL DE MÚSICA HAYDÉE FRANÇA AMERICANO","SRE JUIZ DE FORA"
"31098299","","Principal","CONSERVATÓRIO ESTADUAL MÚSICA LIA SALGADO","SRE LEOPOLDINA"
"31075230","","Principal","COLÉGIO TIRADENTES PMMG","SRE MANHUACU"
"31001996","","Anexo","INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS","SRE METROPOLITANA A"
"31351075","","Anexo","EE ABELARDO DUARTE PASSOS","SRE METROPOLITANA A"
"31305014","","Anexo","EE MARIA JOSEFINA SALES WARDI","SRE METROPOLITANA A"
"31001368","","Principal","COLÉGIO TIRADENTES PMMG -UNIDADE ARGENTINO MADEIRA","SRE METROPOLITANA A"
"31307696","","Principal","COLÉGIO TIRADENTES PMMG - UNIDADE GAMELEIRA","SRE METROPOLITANA B"
"31307718","","Principal","COLÉGIO TIRADENTES PMMG- UNIDADE NOSSA SENHORA DAS VITÓRIAS","SRE METROPOLITANA B"
"31321061","","Principal","COLÉGIO TIRADENTES PMMG","SRE METROPOLITANA B"
"31307726","","Principal","COLÉGIO TIRADENTES PMMG","SRE METROPOLITANA B"
"31368903","","Principal","COLÉGIO TIRADENTES PMMG - UNIDADE AVELINO CAMARGOS","SRE METROPOLITANA B"
"31307700","","Principal","COLÉGIO TIRADENTES PMMG- UNIDADE MINASCAIXA","SRE METROPOLITANA C"
"31331121","","Principal","COLÉGIO TIRADENTES PMMG","SRE METROPOLITANA C"
"31079677","","Anexo","EE TEÓFILO PIRES","SRE MONTES CLAROS"
"31081426","","Principal","COLÉGIO TIRADENTES PMMG","SRE MONTES CLAROS"
"31081680","","Principal","CONSERVATÓRIO ESTADUAL MÚSICA LORENZO FERNANDEZ","SRE MONTES CLAROS"
"31370002","","Principal","COLÉGIO TIRADENTES DA PMMG - CTPM - UNIDADE DOUTOR JOSÉ DE GRISOLIA","SRE NOVA ERA"
"31032409","","Principal","COLÉGIO TIRADENTES PMMG","SRE PARA DE MINAS"
"31388831","","Principal","EE DE ENSINO FUNDAMENTAL - ANOS FINAIS E ENSINO MÉDIO","SRE PARACATU"
"31115479","","Principal","COLÉGIO TIRADENTES PMMG","SRE PASSOS"
"31118770","","Principal","COLÉGIO TIRADENTES PMMG","SRE PATOS DE MINAS"
"31346322","","Principal","CESEC DE BURITIZEIRO","SRE PIRAPORA"
"31377929","","Anexo","EE INDÍGENA DE EDUCAÇÃO INFANTIL ENSINO FUNDAMENTAL - ANOS INICIAIS E FINAIS E ENSINO MÉDIO","SRE POCOS DE CALDAS"
"31124737","","Anexo","EE DAVID CAMPISTA","SRE POCOS DE CALDAS"
"31362280","","Principal","COLÉGIO TIRADENTES PMMG","SRE POUSO ALEGRE"
"31056499","","Principal","CONSERVATÓRIO ESTADUAL DE MÚSICA JUSCELINO KUBITSCHEK DE OLIVEIRA","SRE POUSO ALEGRE"
"31368148","","Principal","COLÉGIO TIRADENTES PMMG - UNIDADE SÃO JOÃO DEL REI","SRE SAO JOAO DEL REI"
"31134732","","Principal","CONSERVATÓRIO ESTADUAL MÚSICA PADRE JOSÉ MARIA XAVIER","SRE SAO JOAO DEL REI"
"31368237","","Principal","COLÉGIO TIRADENTES PMMG","SRE SETE LAGOAS"
"31281204","","Principal","COLÉGIO TIRADENTES PMMG","SRE TEOFILO OTONI"
"31369985","","Principal","COLÉGIO TIRADENTES DA PMMG - CTPM - UNIDADE CÂNDIDO MARTINS DE OLIVEIRA","SRE UBA"
"31182311","","Principal","CONSERVATÓRIO EST MÚSICA PROF THEODOLINDO JOSÉ SOARES","SRE UBA"
"31160253","","Principal","COLÉGIO TIRADENTES PMMG","SRE UBERABA"
"31159921","","Principal","CONSERVATÓRIO ESTADUAL DE MÚSICA RENATO FRATESCHI","SRE UBERABA"
"31362298","","Principal","COLÉGIO TIRADENTES PMMG","SRE UBERLANDIA"
"31369993","","Principal","COLÉGIO TIRADENTES DA PMMG - CTPM - UNIDADE ARAGUARI","SRE UBERLANDIA"
"31166642","","Principal","CONSERVATÓRIO ESTADUAL MÚSICA E CENTRO INTERESCOLAR ARTES RAUL BELÉM","SRE UBERLANDIA"
"31167452","","Principal","CONSERVATÓRIO EST MÚSICA CORA PAVAN CAPPARELLI","SRE UBERLANDIA"
"31175111","","Principal","CONSERVATÓRIO ESTADUAL DE MÚSICA MAESTRO MARCILIANO BRAGA","SRE VARGINHA"
"31174882","","PRINCIPAL","EE AFONSO PENA","SRE VARGINHA"
